Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year,Playoff
Baltimore RavensBaltimore,16,287,17.9,1327,82.9,3360,210.0,4687,292.9,2018,True
Buffalo BillsBuffalo,16,374,23.4,1839,114.9,2867,179.2,4706,294.1,2018,False
Chicago BearsChicago,16,283,17.7,1280,80.0,3515,219.7,4795,299.7,2018,True
Minnesota VikingsMinnesota,16,341,21.3,1815,113.4,3140,196.2,4955,309.7,2018,False
Jacksonville JaguarsJacksonville,16,316,19.8,1870,116.9,3113,194.6,4983,311.4,2018,False
Pittsburgh SteelersPittsburgh,16,360,22.5,1538,96.1,3697,231.1,5235,327.2,2018,False
Dallas CowboysDallas,16,324,20.2,1513,94.6,3755,234.7,5268,329.2,2018,True
Tennessee TitansTennessee,16,303,18.9,1863,116.4,3471,216.9,5334,333.4,2018,False
Los Angeles ChargersLA Chargers,16,329,20.6,1693,105.8,3646,227.9,5339,333.7,2018,True
Detroit LionsDetroit,16,360,22.5,1761,110.1,3599,224.9,5360,335.0,2018,False
Indianapolis ColtsIndianapolis,16,344,21.5,1626,101.6,3805,237.8,5431,339.4,2018,True
Houston TexansHouston,16,316,19.8,1323,82.7,4167,260.4,5490,343.1,2018,True
San Francisco 49ersSan Francisco,16,435,27.2,1814,113.4,3732,233.2,5546,346.6,2018,False
New Orleans SaintsNew Orleans,16,353,22.1,1283,80.2,4302,268.9,5585,349.1,2018,True
Carolina PanthersCarolina,16,382,23.9,1804,112.8,3847,240.4,5651,353.2,2018,False
Seattle SeahawksSeattle,16,347,21.7,1811,113.2,3842,240.1,5653,353.3,2018,True
Washington RedskinsWashington,16,359,22.4,1860,116.2,3794,237.1,5654,353.4,2018,False
Green Bay PackersGreen Bay,16,400,25.0,1918,119.9,3752,234.5,5670,354.4,2018,False
Los Angeles RamsLA Rams,16,384,24.0,1957,122.3,3780,236.2,5737,358.6,2018,True
Arizona CardinalsArizona,16,425,26.6,2479,154.9,3262,203.9,5741,358.8,2018,False
New England PatriotsNew England,16,325,20.3,1803,112.7,3943,246.4,5746,359.1,2018,True
Denver BroncosDenver,16,349,21.8,1913,119.6,3929,245.6,5842,365.1,2018,False
Philadelphia EaglesPhiladelphia,16,348,21.8,1551,96.9,4308,269.2,5859,366.2,2018,True
New York GiantsNY Giants,16,412,25.8,1898,118.6,4044,252.8,5942,371.4,2018,False
New York JetsNY Jets,16,441,27.6,2021,126.3,4065,254.1,6086,380.4,2018,False
Oakland RaidersOakland,16,467,29.2,2249,140.6,3853,240.8,6102,381.4,2018,False
Tampa Bay BuccaneersTampa Bay,16,464,29.0,1983,123.9,4151,259.4,6134,383.4,2018,False
Atlanta FalconsAtlanta,16,423,26.4,1999,124.9,4153,259.6,6152,384.5,2018,False
Miami DolphinsMiami,16,433,27.1,2325,145.3,3932,245.8,6257,391.1,2018,False
Cleveland BrownsCleveland,16,392,24.5,2163,135.2,4125,257.8,6288,393.0,2018,False
Kansas City ChiefsKansas City,16,421,26.3,2114,132.1,4374,273.4,6488,405.5,2018,True
Cincinnati BengalsCincinnati,16,455,28.4,2204,137.8,4414,275.9,6618,413.6,2018,False
