Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year,Playoff
Minnesota VikingsMinnesota,16,252,15.8,1337,83.6,3078,192.4,4415,275.9,2017,True
Jacksonville JaguarsJacksonville,16,268,16.8,1860,116.2,2718,169.9,4578,286.1,2017,True
Denver BroncosDenver,16,382,23.9,1430,89.4,3210,200.6,4640,290.0,2017,False
Philadelphia EaglesPhiladelphia,16,295,18.4,1267,79.2,3637,227.3,4904,306.5,2017,True
Pittsburgh SteelersPittsburgh,16,308,19.2,1693,105.8,3217,201.1,4910,306.9,2017,True
Arizona CardinalsArizona,16,361,22.6,1434,89.6,3541,221.3,4975,310.9,2017,False
Carolina PanthersCarolina,16,327,20.4,1409,88.1,3665,229.1,5074,317.1,2017,True
Dallas CowboysDallas,16,332,20.8,1664,104.0,3425,214.1,5089,318.1,2017,False
Atlanta FalconsAtlanta,16,315,19.7,1665,104.1,3429,214.3,5094,318.4,2017,True
Chicago BearsChicago,16,320,20.0,1730,108.1,3376,211.0,5106,319.1,2017,False
Seattle SeahawksSeattle,16,332,20.8,1824,114.0,3347,209.2,5171,323.2,2017,False
Baltimore RavensBaltimore,16,303,18.9,1780,111.2,3421,213.8,5201,325.1,2017,False
Tennessee TitansTennessee,16,356,22.2,1420,88.8,3828,239.2,5248,328.0,2017,True
Cleveland BrownsCleveland,16,410,25.6,1566,97.9,3684,230.2,5250,328.1,2017,False
Los Angeles ChargersLA Chargers,16,272,17.0,2098,131.1,3156,197.2,5254,328.4,2017,False
Miami DolphinsMiami,16,393,24.6,1768,110.5,3603,225.2,5371,335.7,2017,False
New Orleans SaintsNew Orleans,16,326,20.4,1787,111.7,3597,224.8,5384,336.5,2017,True
Cincinnati BengalsCincinnati,16,349,21.8,2046,127.9,3379,211.2,5425,339.1,2017,False
Los Angeles RamsLA Rams,16,329,20.6,1957,122.3,3475,217.2,5432,339.5,2017,True
Houston TexansHouston,16,436,27.2,1747,109.2,3799,237.4,5546,346.6,2017,False
Washington RedskinsWashington,16,388,24.2,2146,134.1,3420,213.8,5566,347.9,2017,False
Green Bay PackersGreen Bay,16,384,24.0,1793,112.1,3789,236.8,5582,348.9,2017,False
Oakland RaidersOakland,16,373,23.3,1743,108.9,3858,241.1,5601,350.1,2017,False
San Francisco 49ersSan Francisco,16,383,23.9,1861,116.3,3764,235.2,5625,351.6,2017,False
New York JetsNY Jets,16,382,23.9,1887,117.9,3749,234.3,5636,352.2,2017,False
Buffalo BillsBuffalo,16,359,22.4,1994,124.6,3688,230.5,5682,355.1,2017,True
Detroit LionsDetroit,16,376,23.5,1800,112.5,3892,243.2,5692,355.8,2017,False
Kansas City ChiefsKansas City,16,339,21.2,1890,118.1,3952,247.0,5842,365.1,2017,True
New England PatriotsNew England,16,296,18.5,1836,114.8,4020,251.2,5856,366.0,2017,True
Indianapolis ColtsIndianapolis,16,404,25.2,1927,120.4,3946,246.6,5873,367.1,2017,False
New York GiantsNY Giants,16,388,24.2,1933,120.8,4038,252.4,5971,373.2,2017,False
Tampa Bay BuccaneersTampa Bay,16,382,23.9,1880,117.5,4169,260.6,6049,378.1,2017,False
