Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year
Kansas City ChiefsKansas City,16,565,35.3,1855,115.9,4955,309.7,6810,425.6,2018
Los Angeles RamsLA Rams,16,527,32.9,2231,139.4,4507,281.7,6738,421.1,2018
Tampa Bay BuccaneersTampa Bay,16,396,24.8,1523,95.2,5125,320.3,6648,415.5,2018
Pittsburgh SteelersPittsburgh,16,428,26.8,1445,90.3,5008,313.0,6453,403.3,2018
New England PatriotsNew England,16,436,27.2,2037,127.3,4258,266.1,6295,393.4,2018
Atlanta FalconsAtlanta,16,414,25.9,1573,98.3,4653,290.8,6226,389.1,2018
Indianapolis ColtsIndianapolis,16,433,27.1,1718,107.4,4461,278.8,6179,386.2,2018
New Orleans SaintsNew Orleans,16,504,31.5,2025,126.6,4042,252.6,6067,379.2,2018
Baltimore RavensBaltimore,16,389,24.3,2441,152.6,3558,222.4,5999,374.9,2018
Carolina PanthersCarolina,16,376,23.5,2136,133.5,3836,239.8,5972,373.2,2018
Los Angeles ChargersLA Chargers,16,428,26.8,1873,117.1,4089,255.6,5962,372.6,2018
Green Bay PackersGreen Bay,16,376,23.5,1667,104.2,4238,264.9,5905,369.1,2018
Cleveland BrownsCleveland,16,359,22.4,1893,118.3,4007,250.4,5900,368.8,2018
Philadelphia EaglesPhiladelphia,16,367,22.9,1570,98.1,4275,267.2,5845,365.3,2018
Houston TexansHouston,16,402,25.1,2021,126.3,3781,236.3,5802,362.6,2018
San Francisco 49ersSan Francisco,16,342,21.4,1902,118.9,3867,241.7,5769,360.6,2018
New York GiantsNY Giants,16,369,23.1,1650,103.1,4047,252.9,5697,356.1,2018
Seattle SeahawksSeattle,16,428,26.8,2560,160.0,3093,193.3,5653,353.3,2018
Denver BroncosDenver,16,329,20.6,1907,119.2,3695,230.9,5602,350.1,2018
Minnesota VikingsMinnesota,16,360,22.5,1493,93.3,4036,252.2,5529,345.6,2018
Chicago BearsChicago,16,421,26.3,1938,121.1,3564,222.8,5502,343.9,2018
Dallas CowboysDallas,16,339,21.2,1963,122.7,3538,221.1,5501,343.8,2018
Oakland RaidersOakland,16,290,18.1,1628,101.8,3751,234.4,5379,336.2,2018
Detroit LionsDetroit,16,324,20.2,1660,103.8,3576,223.5,5236,327.2,2018
Tennessee TitansTennessee,16,310,19.4,2023,126.4,2975,185.9,4998,312.4,2018
Cincinnati BengalsCincinnati,16,368,23.0,1682,105.1,3290,205.6,4972,310.8,2018
Jacksonville JaguarsJacksonville,16,245,15.3,1723,107.7,3109,194.3,4832,302.0,2018
Washington RedskinsWashington,16,281,17.6,1774,110.9,3021,188.8,4795,299.7,2018
New York JetsNY Jets,16,333,20.8,1622,101.4,3165,197.8,4787,299.2,2018
Buffalo BillsBuffalo,16,269,16.8,1984,124.0,2794,174.6,4778,298.6,2018
Miami DolphinsMiami,16,319,19.9,1738,108.6,2900,181.2,4638,289.9,2018
Arizona CardinalsArizona,16,225,14.1,1342,83.9,2523,157.7,3865,241.6,2018
